"Korean","Japanese","English","Chinese","German","French","Russian"
"지도를 표시합니다.","地図を表示します。","Displays the map.","显示地图。","Zeigt die Karte an.","Affiche la carte.","Отображает карту."
"설정창을 표시합니다.","設定ウィンドウを表示します。","Displays the settings window.","显示设置窗口。","Zeigt das Einstellungsfenster an.","Affiche la fenêtre des paramètres.","Отображает окно настроек."
"이벤트 화면을 표시합니다.","イベント画面を表示します。","Displays the event screen.","显示事件屏幕。","Zeigt den Ereignisbildschirm an.","Affiche l'écran de l'événement.","Отображает экран события."
"처음부터","最初から","From the beginning","从一开始","Von Anfang an","Dès le début","С самого начала"
"이어하기","続く","Continue","继续","Weitermachen","Continuer","Продолжать"
"종료하기","終了する","Exit","出口","Ausfahrt","Sortie","Выход"
"메인 화면으로","メイン画面へ","To the main screen","返回主屏幕","Zum Hauptbildschirm","Retour à l'écran principal","На главный экран"
"적과 전투한다.","敵と戦闘する。","Fight the enemy.","杀敌。","Bekämpfe den Feind.","Combattez l'ennemi.","Сражайтесь с врагом."
"무언가 독특한 일이 일어납니다.","何かユニークなことが起こります。","Something unique happens.","发生了一件独特的事情。","Etwas Einzigartiges geschieht.","Il se passe quelque chose d'unique.","Происходит нечто уникальное."
"보물이 있는 곳.","宝のあるところ。","The place where the treasure is.","宝藏所在的地方。","Der Ort, wo der Schatz liegt.","L'endroit où se trouve le trésor.","Место, где находится сокровище."
"체력의 20%만큼 회복한다.","体力の20％ほど回復する。","Recovers 20% of stamina.","恢复20%的体力。","Stellt 20 % der Ausdauer wieder her.","Récupère 20 % de l'endurance.","Восстанавливает 20% выносливости."
"휴식하기 
체력을 <color=green>20%</color>회복한다.","休憩 
体力を<color=green>20%</color>回復する。","Resting restores <color=green>20%</color> of stamina.","休息可恢复20%的体力。","Ruhepausen stellen <color=green>20%</color> der Ausdauer wieder her.","Le repos restaure <color=green>20%</color> d'endurance.","Отдых восстанавливает <color=green>20%</color> выносливости."
"연구하기
심볼의 <color=red>진화 조건</color>을 알아낸다.","研究する
シンボルの<color=red>進化条件</color>を調べる。","Research

Find out the <color=red>evolution conditions</color> of the symbol.","研究

找出该符号的<color=red>演化条件</color>。","Recherche

Ermittle die <color=red>Evolutionsbedingungen</color> des Symbols.","Recherche

Découvrez les <color=red>conditions d'évolution</color> du symbole.","Исследование

Узнайте об условиях эволюции символа."
"평소와는 다른 강력한 적이 등장합니다.","いつもとは違う強力な敵が登場します。","A powerful enemy unlike the usual appears.","一个与以往不同的强大敌人出现了。","Ein mächtiger Feind, ganz anders als sonst, erscheint.","Un ennemi puissant et différent de tous les autres apparaît.","Появляется могущественный враг, не похожий на обычных."
"재밌게 플레이해 주세요!","楽しくプレイしてください！","Please enjoy playing!","请尽情游戏！","Viel Spaß beim Spielen!","Amusez-vous bien !","Приятной игры!"
"직업을 선택 후 게임을 처음부터 플레이합니다.","ジョブを選択した後、ゲームを最初からプレイします。","After selecting a profession, play the game from the beginning.","选择职业后，从头开始玩游戏。","Nachdem du einen Beruf gewählt hast, spiele das Spiel von vorn.","Après avoir choisi une profession, jouez depuis le début.","После выбора профессии начните игру с самого начала."
"세이브 파일이 있다면 마지막으로 진행한 곳에서 다시 시작합니다.","セーブファイルがある場合は、最後に行った場所から再起動します。","If you have a save file, you will resume from where you last left off.","如果您有存档文件，您将从上次离开的地方继续游戏。","Wenn Sie einen Spielstand gespeichert haben, können Sie dort weiterspielen, wo Sie zuletzt aufgehört haben.","Si vous avez une sauvegarde, vous reprendrez là où vous en étiez.","Если у вас есть файл сохранения, вы продолжите игру с того места, где остановились в прошлый раз."
"게임을 종료합니다.","ゲームを終了します。","Exit the game.","退出游戏。","Verlasse das Spiel.","Quittez le jeu.","Выйти из игры."
"주정뱅이로 플레이시 어지러움 효과를 줄여줍니다.","ジュジョンバンイでプレイ時めまい効果を低減します。","Reduces dizziness when playing as a drunkard.","减少扮演醉汉时产生的眩晕感。","Verringert Schwindelgefühle beim Spielen als Betrunkener.","Réduit les vertiges lorsqu'on joue le rôle d'un ivrogne.","Уменьшает головокружение при игре за пьяницу."
"게임 내 소리를 조절합니다.","ゲーム内の音を調整します。","Adjusts in-game sound.","调整游戏内音效。","Passt den Sound im Spiel an.","Ajuste le son du jeu.","Настраивает звук в игре."
"게임 내 애니메이션 배속을 설정합니다.","ゲーム内のアニメーションの倍速を設定します。","Sets the in-game animation speed.","设置游戏内动画速度。","Legt die Animationsgeschwindigkeit im Spiel fest.","Définit la vitesse d'animation en jeu.","Задает скорость анимации в игре."
"게임의 언어를 변환합니다.","ゲームの言語を変換します。","Converts the game language.","转换游戏语言。","Konvertiert die Spielsprache.","Convertit la langue du jeu.","Преобразует язык игры."
"현재의 창을 닫습니다.","現在のウィンドウを閉じます。","Closes the current window.","关闭当前窗口。","Schließt das aktuelle Fenster.","Ferme la fenêtre actuelle.","Закрывает текущее окно."
"다양한 상태이상을 걸 수 있으며 주로 마법으로 전투합니다.","様々な状態異常をかけることができ、主に魔法で戦闘します。","It can inflict various status ailments and primarily fights using magic.","它能造成各种异常状态，主要使用魔法进行战斗。","Es kann verschiedene Statusveränderungen verursachen und kämpft hauptsächlich mit Magie.","Il peut infliger divers altérations d'état et combat principalement à l'aide de magie.","Оно может наносить различные негативные эффекты и в основном сражается с использованием магии."
"강력한 한방을 자랑하며 주로 검 또는 신체를 사용합니다.","強力な漢方を誇り、主に剣や体を使用しています。","Boasting a powerful single blow, he primarily uses a sword or his body.","他拥有强大的单次攻击能力，主要使用剑或身体进行攻击。","Mit einem einzigen, kraftvollen Schlag ist er besonders effektiv und setzt dabei vorwiegend ein Schwert oder seinen Körper ein.","Doté d'un coup unique et puissant, il utilise principalement une épée ou son corps.","Обладая мощным одиночным ударом, он использует в основном меч или своё тело."
