"Korean","Japanese","English","Chinese","German","French","Russian"
"뛰어 들기","ジャンプ","Jump In","跳进去","Spring Rein","Plongez-Vous Dans Le","Запрыгивай"
"몸통 박치기","胴体を打つ","Body Slam","抱摔","Körperschlag","Coup De Corps","Бросок С Размахом"
"들러붙기","立ち寄る","Sticking","粘性","Kleben","Collage","Прилипание"
"감싸기","包む","Wrapping","包装","Verpackung","Emballage","Упаковка"
"넘어지기","倒れる","Falling Down","跌倒","Herunterfallen","Tomber","Падение"
"난동부리기","乱動","Causing A Disturbance","造成骚乱","Eine Störung Verursachen","Provoquant Une Perturbation","Вызывая Беспорядок"
"차지","チャージ","Leasehold","租赁","Pacht","Bail","Аренда"
"마력 방출","馬力放出","Mana Release","法力释放","Mana-Freisetzung","Libération De Mana","Высвобождение Маны"
"마구 휘두르기","馬具振り","Wild Swinging","狂野摇摆","Wildes Schwingen","Balancement Sauvage","Дикий Размах"
"응원","応援","Cheering","欢呼","Jubel","Applaudissement","Ликование"
"도망치기","逃げる","Running Away","逃跑","Weglaufen","S'Enfuir","Побег"
"날개치기","翼","Flapping Wings","拍打翅膀","Schlagende Flügel","Ailes Battantes","Хлопающие Крылья"
"마구할퀴기","やる気","Wild Scratching","狂野的抓挠","Wildes Kratzen","Grattage Sauvage","Дикое Царапание"
"함성","歓声","Cry","哭","Weinen","Pleurer","Плакать"
"태우기","燃やす","Ride","骑","Fahrt","Monter","Поездка"
"흩뿌리기","散布","Scattering","散射","Streuung","Diffusion","Рассеяние"
"몸통 박치기","胴体を打つ","Body Slam","抱摔","Körperschlag","Coup De Corps","Бросок С Размахом"
"생명의 바람","命の風","Wind Of Life","生命之风","Wind Des Lebens","Le Vent De La Vie","Ветер Жизни"
"매서운 바람","激しい風","Biting Wind","刺骨的风","Beißender Wind","Vent Glacial","Пронизывающий Ветер"
"산들 바람","山風","Gentle Breeze","微风","Eine Sanfte Brise","Petite Brise","Легкий Ветерок"
"짓누르기","押しつぶす","Crushing","粉碎","Zermalmen","Écrasement","Раздавливание"
"수호의 힘","守護の力","Power Of Protection","保护能力","Schutzwirkung","Pouvoir De Protection","Сила Защиты"
"휘두르기","振り回す","Swing","摇摆","Swing","Balançoire","Качать"
"거대한 일격","巨大な一撃","A Massive Blow","沉重打击","Ein Gewaltiger Schlag","Un Coup Terrible","Сокрушительный Удар"
"찍기","撮影","Chopping","切碎","Hacken","Hacher","Рубка"
"물뿜기","水吹き","Spraying Water","喷水","Sprühwasser","Pulvériser De L'Eau","Распыление Воды"
