"Korean","Japanese","English","Chinese","German","French","Russian"
"그을림","日焼け","Soot","煤烟","Ruß","Suie","Сажа"
"실명","本名","Real Name","真实姓名","Echter Name","Nom Réel","Настоящее Имя"
"가시","とげ","Thorn","刺","Dorn","Épine","Шип"
"닌자의 축복","忍者の祝福","Ninja'S Blessing","忍者的祝福","Ninjas Segen","Bénédiction Du Ninja","Благословение Ниндзя"
"반사","反射","Reflection","反射","Spiegelung","Réflexion","Отражение"
"정신 집중","精神集中","Mental Concentration","精神集中","Geistige Konzentration","Concentration Mentale","Умственная Концентрация"
"현상금","賞金","Prize","奖","Preis","Prix","Приз"
"폭식","暴食","Voracity","贪婪","Gefräßigkeit","Voracité","Прожорливость"
"축복","祝福","Blessing","祝福","Segen","Bénédiction","Благословение"
"지원","サポート","Backup","备份","Backup","Sauvegarde","Резервная Копия"
"술의 저주","酒の呪い","The Curse Of Alcohol","酒精的诅咒","Der Fluch Des Alkohols","La Malédiction De L'Alcool","Проклятие Алкоголя"
