"Korean","Japanese","English","Chinese","German","French","Russian"
"원하는 조건을 선택하세요.","希望の条件を選択してください。","Please Select The Conditions You Want.","请选择您需要的条件。","Bitte Wählen Sie Die Gewünschten Bedingungen Aus.","Veuillez Sélectionner Les Conditions Souhaitées.","Пожалуйста, Выберите Желаемые Условия."
"결정","決定","Decision","决定","Entscheidung","Décision","Решение"
"타이틀","タイトル","Title","标题","Titel","Titre","Заголовок"
"게임 종료","ゲーム終了","Game Over","游戏结束","Spiel Vorbei","Jeu Terminé","Игра Закончена"
"언어 설정","言語設定","Language Settings","语言设置","Spracheinstellungen","Paramètres De Langue","Языковые Настройки"
"마스터 사운드","マスターサウンド","Master Sound","大师级音响","Master Sound","Master Sound","Мастер-Звук"
"효과음","効果音","Sound Effects","音效","Soundeffekte","Bruitage","Звуковые Эффекты"
"배경음","背景音","Background Music","背景音乐","Hintergrundmusik","Musique De Fond","Фоновая Музыка"
"화면 비율","画面の割合","Aspect Ratio","长宽比","Seitenverhältnis","Rapport D'Aspect","Соотношение Сторон"
"점수","スコア","Score","分数","Punktzahl","Score","Счет"
"프로필","プロフィール","Profile","轮廓","Profil","Profil","Профиль"
"이름","名前","Name","姓名","Name","Nom","Имя"
"스킬","スキル","Skill","技能","Fähigkeit","Compétence","Навык"
"패시브 스킬","パッシブスキル","Passive Skill","被动技能","Passive Fertigkeit","Compétence Passive","Пассивный Навык"
"액티브 스킬","アクティブスキル","Active Skill","主动技能","Aktive Fertigkeit","Compétence Active","Активный Навык"
"활성화됨","有効","Activated","活性","Aktiviert","Activé","Активировано"
"비활성화됨","無効","Disabled","已禁用","Deaktiviert","Désactivé","Неполноценный"
"게임 시작","ゲーム開始","Start The Game","开始游戏","Starte Das Spiel","Démarrez La Partie","Начать Игру"
"용사입니다만 너무 우유부단해 룰렛에
의존합니다!!!","容姿だけど優柔不断でルーレットで
依存します","I'm a knight, but I'm so indecisive 
that I rely on roulette!!!","他是个战士，但他优柔寡断到竟然靠轮盘赌来做决定！！！","Ich bin zwar ein Ritter, aber so unentschlossen, dass ich auf Roulette vertraue!","Je suis un chevalier, mais je suis tellement indécis
que je joue à la roulette !","Я рыцарь, но я настолько нерешительный, что полагаюсь на рулетку!!!"
"힘","力","Strength","力量","Stärke","Force","Сила"
"지혜","知恵","Wisdom","智慧","Weisheit","Sagesse","Мудрость"
"민첩","アジャイル","Agility","敏捷","Beweglichkeit","Agilité","Ловкость"
"룰렛","ルーレット","Roulette","轮盘赌","Roulette","Roulette","Рулетка"
"조건","条件","Condition","状况","Zustand","Condition","Состояние"
"진화","進化","Evolution","进化","Evolution","Évolution","Эволюция"
"정보","情報","Information","信息","Information","Information","Информация"
"특징","特徴","Characteristic","特征","Merkmal","Caractéristiques","Характерный"
"Tips:","Tips:","Tips:","尖端：","Tipps:","Conseils:","Советы:"
"플레이어","プレイヤー","Player","玩家","Spieler","Joueur","Игрок"
"지도","地図","Map","地图","Karte","Carte","Карта"
"설정","設定","Setting","环境","Einstellung","Paramètre","Параметр"
"이벤트","イベント","Event","事件","Ereignis","Événement","Событие"
"적용","適用","Apply","申请","Anwenden","Appliquer","Применять"
"취소","キャンセル","Cancellation","消除","Stornierung","Annulation","Отмена"
"소리 조절","音の調節","Volume Control","音量控制","Lautstärkeregler","Contrôle Du Volume","Регулятор Громкости"
"애니메이션 속도","アニメーションスピード","Animation Speed","动画速度","Animationsgeschwindigkeit","Vitesse D'Animation","Скорость Анимации"
"닫기","閉じる","Close","关闭","Schließen","Fermer","Закрывать"
"설명","説明","Explanation","解释","Erläuterung","Explication","Объяснение"
"전투","戦い","Battle","战斗","Schlacht","Bataille","Боевой"
"휴식","休憩","Rest","休息","Ausruhen","Repos","Отдых"
"이벤트","イベント","Event","事件","Ereignis","Événement","Событие"
"보물","宝","Treasure","宝藏","Schatz","Trésor","Сокровище"
"버프","バフ","Buff","增幅","Polieren","Chamois","Бафф"
"스킬","スキル","Skill","技能","Fähigkeit","Compétence","Навык"
"노말","ノーマル","Normal","普通的","Normal","Normale","Нормальный"
"레어","レア","Rare","稀有的","Selten","Rare","Редкий"
"유니크","ユニーク","Unique","独特的","Einzigartig","Unique","Уникальный"
"에픽","エピック","Epic","史诗","Epos","Épique","Эпический"
"레전더리","レジェンダリー","Legendary","传奇","Legendär","Légendaire","Легендарный"
"특수","特別","Special","特别的","Besonders","Spécial","Особенный"
"보스","ボス","Boss","老板","Chef","Chef","Босс"
